id,nome,idade,sexo,"estado, renda_mensal"
2028,Dr. Gustavo Henrique Lopes,31,M,AL,5904.39
2029,Antony Lopes,95,M,MG,7049.07
2030,Thales Pires,55,F,RS,2395.69
2031,Isaac Ramos,100,M,MA,4132.18
2032,Pedro Miguel da Rosa,93,F,MT,8121.49
2033,Emanuel Cardoso,72,F,SC,9225.63
2034,Renan Pastor,64,M,SP,3248.64
2035,Josué Casa Grande,68,F,AC,8817.15
2036,Stella Barros,24,F,AC,4608.33
2037,João Guilherme Viana,43,M,MA,9305.28
2038,Guilherme Mendonça,70,M,BA,4295.82
2039,Davi Alves,92,F,PA,7897.15
2040,Ayla Nogueira,96,F,PB,1336.53
2041,Gustavo Henrique Sousa,61,F,RS,8196.27
2042,Bianca Azevedo,47,M,CE,4386.14
2043,Raul Rodrigues,60,M,SC,3703.67
2044,Maria Sophia Monteiro,55,F,RJ,4838.13
2045,Daniel da Mata,34,M,RS,2394.04
2046,Dr. Benício Câmara,84,M,BA,5671.55
2047,Mirella Jesus,59,M,RN,8967.42
2048,Sr. Rael Casa Grande,75,F,AM,6153.26
2049,Kaique Mendonça,39,M,ES,7309.22
2050,Bruna Moraes,61,M,RR,7075.52
2051,Maria Isis Araújo,42,F,GO,7685.76
2052,Maya Fernandes,59,M,MG,3511.25
2053,Mathias Novaes,31,M,AC,5834.78
2054,Dr. Augusto Correia,79,M,GO,2968.5
2055,Leonardo da Mota,54,F,MS,8618.06
2056,Valentina Caldeira,48,F,TO,8402.18
2057,Esther Correia,96,M,SC,5275.96
2058,Sra. Ana Laura Borges,74,M,MT,2884.82
2059,Enzo Gabriel Brito,80,F,RS,4840.74
2060,Sr. Davi Miguel Monteiro,38,M,CE,3837.83
2061,Ana Lívia Ferreira,76,M,DF,3973.51
2062,Dr. Henry Moraes,68,F,ES,3057.65
2063,Dr. Igor Barbosa,66,F,RO,9646.71
2064,Eduardo Montenegro,65,F,ES,4413.69
2065,Heloisa Cassiano,82,M,SP,9845.86
2066,Allana Souza,18,F,PR,7028.39
2067,Larissa Ramos,60,M,PE,8010.77
2068,Maria Clara da Paz,62,F,SP,3797.72
2069,Camila Teixeira,59,F,PB,6730.11
2070,Davi Luiz Pastor,76,F,RR,3721.87
2071,Mathias Viana,34,F,GO,1198.57
2072,Sabrina Pereira,100,F,MA,3722.99
2073,Henry da Mota,65,F,MS,6154.56
2074,Ravi Lucca Rocha,29,F,BA,2849.59
2075,Vinicius Lima,61,F,SP,7970.85
2076,Zoe Azevedo,34,F,SC,3564.19
2077,Ian Porto,93,M,CE,6248.81
2078,Guilherme Cavalcanti,96,M,SP,9457.16
2079,Dra. Ana Luiza Brito,21,M,CE,6434.31
2080,Dra. Yasmin Sousa,19,F,MT,6376.09
2081,Ayla Ferreira,93,F,SP,2661.73
2082,Gabriel Melo,54,M,ES,6983.65
2083,Srta. Julia Siqueira,41,F,PI,3885.3
2084,Henry Gabriel da Rocha,58,M,RJ,2369.92
2085,José Marques,50,M,MG,9578.07
2086,Vinicius Castro,100,F,RO,9972.21
2087,João Miguel Albuquerque,55,F,AP,4736.25
2088,Danilo Camargo,80,F,MA,2800.89
2089,Léo Jesus,40,M,AC,1447.16
2090,Thales Correia,90,F,GO,3096.34
2091,Gabriel Novais,73,F,RR,8541.36
2092,Srta. Stephany Pimenta,87,F,PR,5360.07
2093,Sra. Jade Nascimento,54,F,BA,5071.36
2094,Ana Lívia Pereira,85,M,CE,2579.51
2095,Ana Luiza Lima,94,F,PA,1378.78
2096,Kamilly das Neves,87,M,RR,4697.2
2097,Marcelo Rodrigues,31,M,RO,4910.63
2098,Antônio Freitas,54,F,RN,7320.82
2099,Dante Ferreira,71,F,PA,1204.24
2100,Bernardo Campos,33,M,MG,2726.35
2101,Davi da Paz,84,F,SC,7265.36
2102,José Miguel Vargas,97,M,TO,2858.8
2103,Thomas da Paz,24,M,MA,6387.35
2104,Melina Cavalcante,27,M,GO,2005.89
2105,Alice Albuquerque,23,F,PI,7380.95
2106,Henrique da Rosa,27,F,RN,1761.06
2107,Dra. Cecília Araújo,39,M,RO,9216.91
2108,Arthur Martins,84,M,AC,6408.96
2109,Lucas Gabriel Câmara,93,F,RS,8888.85
2110,Dra. Bruna Moreira,75,F,SC,8338.1
2111,Elisa Carvalho,42,M,MS,7462.61
2112,Melissa Gonçalves,23,M,SP,8066.79
2113,Dr. Thomas Rios,63,F,RO,9473.39
2114,Bruno Pereira,75,M,MG,4016.38
2115,Emanuella Carvalho,36,F,MS,1329.34
2116,Pietro Fernandes,29,F,CE,8278.98
2117,Luigi das Neves,95,F,BA,1533.32
2118,Enrico da Mota,60,F,RS,8044.77
2119,Henry Gabriel Rodrigues,52,M,MT,3517.82
2120,Eduardo Almeida,91,M,RN,1011.65
2121,Ana Vitória Gomes,47,F,ES,7429.75
2122,Dom Santos,79,F,DF,6306.28
2123,Cecilia Peixoto,18,F,RN,4134.43
2124,Ana Porto,67,M,AL,3588.56
2125,Noah Sales,55,F,TO,5396.13
2126,Isadora Cavalcante,78,F,AM,7144.71
2127,Cauê Pimenta,68,F,RJ,2062.08
2128,Maitê Lopes,34,F,AM,2364.36
2129,Hadassa Rezende,48,M,ES,5315.11
2130,Clara Silveira,92,M,MT,3151.67
2131,Emanuelly da Mota,42,F,MT,7511.03
2132,Henrique Andrade,22,F,AP,9981.39
2133,Jade Duarte,24,M,CE,2718.34
2134,Kamilly Nunes,79,F,MT,9657.07
2135,Bianca da Conceição,51,M,PE,8030.69
2136,Ravy Almeida,21,F,RN,7089.44
2137,Kaique Porto,99,F,AL,1193.09
2138,Hellena Moraes,25,M,ES,9235.77
2139,Bruno da Mata,60,F,SE,9681.33
2140,Davi Miguel Brito,32,M,RO,6630.03
2141,Pedro Miguel Pacheco,56,F,RR,4345.12
2142,Matteo Vargas,65,M,MS,2672.29
2143,Sr. Pietro Ferreira,23,F,ES,8458.49
2144,Maria Alice da Costa,19,M,PI,7931.47
2145,Melissa Melo,100,F,PB,3267.91
2146,Leonardo Fogaça,66,M,PI,4774.11
2147,Maria Sophia Barbosa,91,F,SC,5737.72
2148,Lara Montenegro,38,M,RS,9736.68
2149,Isabella Mendes,94,M,MA,3263.9
2150,Enzo Sá,86,F,AP,3990.67
2151,Emanuel Cirino,65,M,MG,5839.19
2152,Ana Cecília Dias,23,F,AC,7308.53
2153,Mariana Ramos,85,F,GO,2750.9
2154,Srta. Isabel Silva,95,M,SC,5722.49
2155,Asafe Borges,61,F,PB,6986.08
2156,Sr. Apollo Farias,73,F,AP,8232.6
2157,Lorenzo Carvalho,48,F,AM,6399.61
2158,Cecilia Aparecida,81,F,TO,1108.0
2159,Francisco Rios,72,F,PR,3777.1
2160,Maria Clara Siqueira,83,F,PE,5086.5
2161,Ayla Cardoso,80,M,MT,8337.46
2162,Ayla Ribeiro,63,M,AM,8623.14
2163,Helena da Costa,58,F,PA,8663.21
2164,Ana Lívia Oliveira,18,M,MG,5091.67
2165,Maria Fernanda Viana,81,M,MG,7612.81
2166,Noah Cavalcanti,74,M,GO,2368.76
2167,Luara Leão,90,F,AP,6101.53
2168,Ana Luiza Costa,100,F,PA,3987.08
2169,Gabrielly Costa,65,M,PI,2578.74
2170,Vitor Almeida,42,F,PE,6158.84
2171,Manuela Aragão,22,F,GO,5293.11
2172,Diogo Martins,44,F,AM,8214.35
2173,Evelyn Rios,43,M,AM,1947.27
2174,Dra. Laura Novaes,22,F,MA,2365.6
2175,Henry Nunes,18,F,TO,9815.59
2176,Francisco das Neves,23,M,CE,4901.85
2177,Raquel Freitas,55,M,PE,9079.26
2178,Sra. Vitória Teixeira,88,F,GO,3171.88
2179,Bruna Novais,27,F,SE,8227.65
2180,Rebeca Leão,25,M,SP,3556.32
2181,Clara Porto,25,F,PR,8208.12
2182,Cecilia Freitas,35,M,SE,1453.89
2183,Otto Vieira,85,M,RN,2070.3
2184,Raul Mendonça,63,M,MT,9384.77
2185,Srta. Aurora Carvalho,94,M,RS,8146.71
2186,Calebe Garcia,92,F,AP,2739.07
2187,Kamilly Sá,20,F,MS,6012.71
2188,Levi Lima,34,F,AC,1532.02
2189,Srta. Olivia Araújo,91,M,AL,3664.3
2190,Ana Júlia Oliveira,100,M,MA,6684.81
2191,Srta. Emanuella Melo,32,M,PE,3077.66
2192,Carlos Eduardo Andrade,24,M,SP,7396.52
2193,Luiz Gustavo Sousa,94,F,PI,1589.47
2194,Alexia Farias,91,M,AC,1492.14
2195,Thales Ferreira,77,F,MA,3622.78
2196,Bruna Oliveira,18,M,PA,1440.16
2197,Dra. Carolina Cassiano,24,M,MG,9155.8
2198,Sr. Paulo Guerra,49,F,TO,8791.02
2199,Lucas Albuquerque,67,F,MA,9458.69
2200,Emilly Barros,90,F,TO,6812.22
2201,Dom da Cunha,26,F,SP,3195.76
2202,Enzo Pastor,65,F,GO,6264.84
2203,Srta. Lívia Barbosa,83,F,MG,6601.3
2204,Ian Monteiro,18,F,MT,2757.29
2205,Sarah Souza,72,F,RN,9126.02
2206,Pedro Henrique Sampaio,96,M,MA,2194.18
2207,Sr. Apollo Montenegro,31,M,RS,8466.43
2208,Davi Martins,24,F,PA,4994.04
2209,Sra. Vitória da Mota,44,M,BA,4360.07
2210,Liam da Mota,83,M,BA,9226.18
2211,Stella Andrade,100,F,RJ,4001.12
2212,Mathias Vasconcelos,76,F,MG,9715.59
2213,Juan Novaes,60,M,GO,5532.68
2214,Srta. Maria Luiza Costa,23,M,TO,9799.31
2215,Srta. Isis Viana,72,F,GO,4686.83
2216,Thales Brito,49,M,PB,4202.57
2217,Kevin Vasconcelos,89,M,PE,1183.34
2218,Sr. Samuel Barros,85,F,RR,5187.37
2219,Luigi Alves,54,M,RO,4466.91
2220,Ana Clara Vieira,23,F,GO,6555.46
2221,Letícia Albuquerque,57,F,MS,1215.44
2222,Maitê Moreira,46,F,MT,9259.41
2223,Sr. Davi da Cruz,44,M,MG,7205.72
2224,Mariah Camargo,68,F,AC,9078.3
2225,João Gabriel Pires,24,F,ES,2005.13
2226,Enrico Souza,78,M,MG,2054.65
2227,Gabriel Costela,75,M,SP,5303.25
2228,Maria Liz Nogueira,22,M,AL,9683.53
2229,Sr. Pedro Henrique Pinto,97,F,TO,8325.48
2230,Ágatha Melo,84,M,RR,5087.42
2231,Gael Aparecida,91,F,SP,4993.76
2232,Emanuelly Araújo,61,M,RJ,7446.01
2233,Calebe Abreu,74,F,RN,6396.79
2234,Mariane Pires,63,M,PR,1106.19
2235,Raquel Gomes,93,M,PB,1684.42
2236,Fernando Oliveira,68,F,TO,3726.47
2237,Sr. Vitor Gabriel Pastor,86,F,SE,8420.23
2238,Kamilly Cirino,57,M,AP,9648.09
2239,Cecilia Aparecida,73,F,RR,3871.81
2240,Dom Vasconcelos,18,F,SE,2518.96
2241,Felipe Vieira,74,M,RS,5121.66
2242,Sr. Henrique Machado,37,M,MT,4478.63
2243,Maria Sophia Melo,68,M,SP,6566.49
2244,Dr. Yuri da Mata,62,M,SE,5508.3
2245,Isadora Pacheco,30,M,ES,5187.69
2246,João Vitor Leão,69,M,MA,7860.99
2247,Sr. Joaquim Novais,53,M,AL,9853.99
2248,Vicente Marques,46,F,ES,8555.33
2249,Vinicius Porto,47,M,AL,7233.0
2250,Benício Abreu,44,F,RO,5434.98
2251,Giovanna Brito,100,M,SE,2088.12
2252,Guilherme Novais,62,F,MT,9416.78
2253,Bernardo Martins,100,F,MT,9909.53
2254,Leandro Abreu,54,F,AC,5237.33
2255,Sra. Julia Rodrigues,62,F,PB,6914.57
2256,Maitê Barros,42,M,AP,1652.75
2257,Dr. João Leão,71,F,PR,2370.26
2258,Juliana Casa Grande,89,F,SE,7482.18
2259,Srta. Stella Pinto,53,F,SP,2840.39
2260,Maria Fonseca,64,M,RN,8095.4
2261,Emanuella Vieira,39,F,ES,3121.76
2262,Davi Miguel Alves,88,M,AL,5089.41
2263,Cauê Rios,29,M,RR,6537.81
2264,Luan Jesus,74,M,PB,8950.56
2265,Valentina Carvalho,27,M,PB,9740.36
2266,Gustavo Henrique Pacheco,52,F,DF,5904.63
2267,Léo da Costa,64,M,RN,9198.97
2268,Davi Luiz Novais,67,F,MG,7416.42
2269,Lunna Borges,47,F,MT,6654.45
2270,Brenda Marques,44,F,MS,1190.16
2271,Ana Clara Pinto,94,F,MA,1814.52
2272,Maria Isis Barros,31,M,SE,9948.46
2273,Luísa Araújo,48,F,SP,2142.04
2274,Dr. Davi Lucca Moraes,23,M,PI,4078.47
2275,Otto Câmara,77,M,RS,4702.45
2276,Eduarda Viana,88,F,SE,6031.33
2277,Luiz Otávio Machado,55,F,RO,7108.29
2278,Matheus Novais,38,F,PR,7866.39
2279,Srta. Bárbara Andrade,76,F,TO,9468.65
2280,Brenda Oliveira,81,M,PB,5097.84
2281,Dra. Bianca Pacheco,86,M,RJ,8644.4
2282,Isabel Aparecida,33,M,CE,9330.05
2283,Dr. Ravi Oliveira,22,F,CE,1122.75
2284,Luna Aragão,77,M,RJ,9833.72
2285,Ryan Peixoto,59,F,BA,8560.84
2286,Ana Cecília Lopes,59,M,RR,8305.44
2287,Thales Nogueira,35,M,ES,6289.57
2288,Sra. Emanuella Garcia,93,F,ES,8503.65
2289,Maria Alice Vargas,66,M,CE,8071.54
2290,Matteo Novais,31,F,GO,8937.41
2291,Davi Miguel da Cunha,39,F,AC,7657.75
2292,Olívia Santos,63,M,SC,7730.3
2293,Dra. Júlia Vieira,26,M,RS,7119.05
2294,Ana Beatriz Alves,97,F,MS,4786.5
2295,Augusto Costela,90,F,AP,1916.24
2296,Ana Carolina Mendes,51,F,MT,8841.67
2297,Maria Helena Oliveira,99,F,SP,4881.38
2298,Srta. Lavínia Alves,52,M,AP,5985.12
2299,Isabella Souza,76,F,TO,1262.1
2300,Maria Clara Vieira,43,M,PR,3968.37
2301,Cauê Sales,53,F,ES,4622.96
2302,Rhavi Dias,23,F,AC,5367.89
2303,Ana Laura da Conceição,98,F,SP,4986.53
2304,Aylla Vieira,94,M,AM,1236.74
2305,Dra. Heloisa Freitas,99,M,MS,5565.18
2306,Stella Abreu,56,F,BA,7311.14
2307,Isaac Pereira,99,M,RO,4995.6
2308,Benjamim Câmara,45,M,GO,1912.2
2309,Dr. Felipe Azevedo,80,F,RS,5557.47
2310,Kamilly Araújo,76,F,AP,4082.74
2311,João Guilherme Costa,93,M,AP,2058.71
2312,Noah Viana,82,M,RN,5861.18
2313,Bryan Cavalcante,73,F,AM,7873.36
2314,Eloá Abreu,26,F,ES,7743.3
2315,Rhavi Machado,51,F,AC,4429.74
2316,Olívia Costela,59,F,AL,4085.51
2317,Emanuella da Rocha,86,F,DF,8493.16
2318,Sra. Ester Andrade,68,M,RJ,9787.41
2319,Gustavo Leão,58,F,TO,6772.47
2320,Antony Pereira,93,F,AC,3915.03
2321,Nicole Almeida,92,F,RN,4471.44
2322,Luiz Felipe Mendes,23,M,TO,3462.07
2323,Heloísa Aparecida,57,F,CE,5625.35
2324,João Lucas da Costa,99,F,AL,7187.76
2325,Calebe Porto,89,F,BA,9519.66
2326,Dra. Ana Carolina Azevedo,81,F,MT,3250.99
2327,Elisa Sampaio,83,F,AL,2549.3
2328,Maria Clara Campos,90,M,MT,2849.61
2329,Natália Novais,66,F,SC,8564.08
2330,Helena Silveira,77,M,AM,5153.36
2331,João Vargas,87,M,AM,9591.22
2332,Dante Correia,67,M,AM,5588.11
2333,Mateus Moreira,38,F,GO,3501.41
2334,Sr. Anthony Vargas,59,F,CE,6366.2
2335,Theodoro Campos,79,M,PA,6131.03
2336,Sr. Vitor Ribeiro,58,M,PE,8029.39
2337,Ravi Lucca Correia,89,M,ES,7025.1
2338,Srta. Laís Melo,66,M,SE,2048.61
2339,Ryan Freitas,85,F,SP,2356.1
2340,Erick Câmara,53,M,DF,5005.22
2341,Sra. Ana Lívia Fernandes,23,M,PE,8878.23
2342,Sra. Maria Clara Lima,30,F,BA,1138.27
2343,Ravi Lucca Pires,23,M,RO,1187.81
2344,Dra. Anna Liz Casa Grande,21,M,RO,1973.29
2345,Giovanna Lopes,20,M,SC,7836.19
2346,Maria Alice Ferreira,77,F,RN,9353.95
2347,Enzo Gabriel da Mata,79,M,BA,6203.17
2348,Gabriela da Luz,28,M,AL,2138.53
2349,Dr. Lorenzo Viana,38,F,AM,6936.51
2350,Dra. Rebeca Ramos,80,F,SE,7133.72
2351,Giovanna Rezende,70,F,SC,6148.68
2352,Kevin Peixoto,28,F,PI,5749.41
2353,Leandro Silveira,84,M,RR,3164.75
2354,Sr. Davi Lucca Leão,64,F,CE,4850.2
2355,Sr. Pedro Lucas Ribeiro,57,F,TO,1872.24
2356,Ana Julia Novais,65,M,PB,3885.97
2357,Emanuella da Cruz,39,F,PA,8676.18
2358,Luiza Vieira,37,F,RJ,7756.93
2359,Sra. Eloá da Mata,30,F,AC,2847.73
2360,Dante Fernandes,48,M,CE,3752.79
2361,Kevin Moraes,26,F,MG,8656.15
2362,Cauã Ribeiro,19,M,BA,6443.99
2363,Mathias Caldeira,59,F,RN,2362.9
2364,Sabrina Monteiro,27,M,AP,1953.88
2365,Luan Jesus,61,M,CE,2239.67
2366,Fernando Aragão,86,F,SP,1978.45
2367,Leandro Almeida,96,M,RN,5704.51
2368,Evelyn Siqueira,37,M,GO,4801.36
2369,Caleb Martins,70,F,RJ,2566.17
2370,Helena da Conceição,66,F,RO,6470.92
2371,Ana Lívia Abreu,33,M,PB,9250.05
2372,Ravi Montenegro,69,M,MT,3807.49
2373,Elisa da Costa,51,F,RR,8111.23
2374,Pedro Miguel Oliveira,32,F,AC,3836.44
2375,Mirella Camargo,42,M,SP,6684.1
2376,Gael Henrique Guerra,48,F,SC,4539.99
2377,Benício Viana,74,F,BA,8260.39
2378,Mateus Nascimento,39,F,MS,1401.97
2379,Zoe Viana,81,M,ES,6649.52
2380,Davi Aparecida,18,M,SC,8917.52
2381,Dr. Leonardo Sampaio,49,F,RJ,4962.38
2382,Maysa Fernandes,57,M,AP,7007.16
2383,Enrico Borges,40,F,AC,9426.33
2384,Sra. Jade Teixeira,94,F,TO,1585.11
2385,Sra. Olívia Pires,61,M,SP,3230.16
2386,Maria Laura Viana,89,F,PR,2148.97
2387,Larissa Lopes,67,F,AM,1181.77
2388,Mirella Freitas,95,M,AM,2000.46
2389,Otávio Vargas,18,M,SC,3323.12
2390,Melina Souza,84,F,MS,5739.44
2391,Anthony Gabriel das Neves,71,F,RJ,8512.3
2392,Léo Nunes,24,F,SP,6924.63
2393,Sra. Alana Pimenta,87,F,AC,5264.71
2394,Luiz Otávio Machado,77,F,RO,6687.4
2395,Isabelly Andrade,81,M,AM,9883.04
2396,Maria Sophia Aparecida,66,F,RJ,9740.54
2397,Bella Rocha,73,M,GO,5266.23
2398,Noah Araújo,96,M,AP,6401.16
2399,Bento Vargas,70,F,TO,8334.22
2400,Lívia Cunha,25,M,RJ,7231.04
2401,Gael Henrique Sampaio,32,M,SC,6404.03
2402,Eduardo Caldeira,92,F,SC,3049.67
2403,Bryan Mendes,97,F,PB,5826.9
2404,Julia da Paz,37,F,PR,7924.06
2405,Pedro Miguel Oliveira,91,M,PB,4382.15
2406,Vinícius Teixeira,28,F,RR,4830.18
2407,Henry Gabriel Oliveira,94,F,AM,6754.24
2408,Rebeca Moura,55,F,SC,1865.76
2409,Dra. Lavínia Lopes,42,M,AM,2322.0
2410,Murilo Melo,58,M,BA,4459.41
2411,Cecília Santos,24,M,MT,4424.03
2412,Marina Teixeira,94,M,RR,2810.93
2413,Dra. Natália Costa,22,M,AL,9162.11
2414,Maya Ramos,59,M,PI,5917.93
2415,Daniela Araújo,78,F,MA,6222.73
2416,Luigi Gomes,99,F,AP,4107.42
2417,Emanuel Campos,74,M,SC,9209.41
2418,Caroline Cavalcante,35,M,PE,9599.57
2419,Agatha Campos,20,M,SP,9516.73
2420,Lorena Correia,96,M,CE,5999.01
2421,Daniela Lima,67,F,AM,9157.76
2422,Davi Aragão,61,F,MA,1421.03
2423,Srta. Rebeca da Mota,82,F,AL,9579.13
2424,Hellena Sampaio,61,M,ES,2019.03
2425,Julia Ribeiro,25,F,GO,8685.06
2426,Luigi Macedo,100,F,DF,1668.95
2427,Lorenzo Caldeira,28,M,AP,7335.11
2428,Arthur Caldeira,64,M,SC,8580.42
2429,Srta. Luísa Rios,34,M,PR,9846.77
2430,Helena Lima,35,F,RJ,5464.0
2431,Sara Teixeira,27,M,AP,9722.92
2432,Bruna Pacheco,25,M,PR,6464.26
2433,Mathias Gomes,27,M,PB,8981.05
2434,Vicente Câmara,69,F,AM,8947.63
2435,Ravy Rios,67,M,SC,5313.08
2436,Maya da Cruz,67,F,RJ,3229.71
2437,Ana Carolina Gomes,27,F,SP,3126.7
2438,Eduardo Monteiro,53,F,RJ,5200.47
2439,Julia Araújo,51,F,SC,4002.76
2440,Oliver das Neves,57,M,TO,7534.17
2441,João Gabriel Moraes,68,M,GO,5692.43
2442,Maria Eduarda da Conceição,38,F,SC,8077.91
2443,Srta. Agatha Azevedo,36,F,RN,7006.86
2444,Ísis Moraes,21,M,MG,1356.16
2445,Dr. Mateus Gonçalves,74,M,GO,8707.15
2446,Maria Liz Almeida,21,F,RN,2231.17
2447,Ágatha Viana,27,F,MS,7418.47
2448,Danilo Sampaio,34,F,MA,5327.14
2449,Daniel Nascimento,66,M,PI,2682.74
2450,Davi Albuquerque,97,M,AC,8404.12
2451,Dra. Maria Eduarda Andrade,21,F,AP,6613.86
2452,Srta. Aurora Moreira,67,M,PA,4315.28
2453,Pedro Miguel Rocha,81,M,AC,5321.22
2454,Lucas Gabriel Martins,22,F,GO,8262.02
2455,Sra. Zoe Gonçalves,56,F,RN,7237.74
2456,Mariana Moraes,59,M,RR,6908.79
2457,Pedro Henrique Monteiro,47,F,ES,8720.82
2458,Isaac Montenegro,66,F,ES,5113.58
2459,Bianca da Mata,82,F,AL,4545.9
2460,Sr. Benicio Silva,32,F,RN,1475.5
2461,Raul Ramos,35,M,AM,7726.7
2462,Manuella Carvalho,92,F,PB,3496.67
2463,Heitor Mendes,58,M,RJ,1910.78
2464,Thales da Cruz,84,M,PA,4577.96
2465,Dr. Davi Lucca Teixeira,41,F,AL,6349.0
2466,Cauê Freitas,25,F,PE,1168.04
2467,Paulo das Neves,18,M,PB,4194.5
2468,Davi Vieira,90,F,PE,3085.77
2469,José Pedro Azevedo,54,F,GO,1114.34
2470,Anthony Moura,74,M,RS,9881.06
2471,Srta. Mariah Siqueira,79,F,PE,7116.06
2472,Antony Correia,94,M,SP,4914.21
2473,Daniela Carvalho,70,F,SC,7400.07
2474,Srta. Hadassa Aparecida,28,F,AL,5398.41
2475,Dr. Calebe Vasconcelos,78,M,RJ,2473.57
2476,Dra. Mariah Sá,58,M,ES,7226.47
2477,Dra. Marina Moreira,92,M,CE,4915.33
2478,Lucas Gabriel Ramos,99,F,PA,6588.83
2479,Renan Santos,58,F,AP,5559.54
2480,Ana Lívia Sales,92,M,PR,1723.55
2481,Felipe Câmara,88,F,PE,1342.78
2482,Olívia Ribeiro,91,M,ES,9308.39
2483,Maria Luiza Abreu,94,M,MG,5830.05
2484,Dr. Henrique Barros,28,M,GO,8827.65
2485,Apollo da Paz,100,M,AC,8176.78
2486,Calebe Farias,82,M,DF,7378.63
2487,João Felipe Mendes,84,M,TO,6865.98
2488,Leandro Caldeira,21,M,MT,7934.2
2489,Joaquim Caldeira,42,M,AM,6602.29
2490,Benício Carvalho,89,F,RO,9566.86
2491,Heitor Aragão,23,F,GO,9344.98
2492,Ana Luiza Caldeira,80,M,BA,8012.84
2493,Ana Borges,62,F,PA,4221.85
2494,Mariana Duarte,49,M,CE,5785.5
2495,Dra. Sara Andrade,46,F,PI,7351.4
2496,Lavínia Macedo,68,F,RR,7188.44
2497,Isaque Abreu,69,F,MT,8265.45
2498,Vinicius Sá,70,F,PE,4620.95
2499,Asafe Lima,100,M,RS,2609.21
2500,Anna Liz Gomes,37,F,SE,1953.61
2501,Bruna Nascimento,69,F,SC,7889.97
2502,Enzo Porto,96,M,MS,4295.35
2503,Sr. Anthony Mendonça,45,M,SP,3754.03
2504,Srta. Maria Vitória Aparecida,62,M,RJ,7055.03
2505,Srta. Luiza Andrade,49,F,AC,4113.04
2506,Ian da Mota,34,M,ES,9916.01
2507,Hellena Pereira,86,M,MT,7308.52
2508,Stephany Vargas,61,F,TO,7101.11
2509,Dr. Davi Luiz da Conceição,89,M,AC,2900.59
2510,Maria Isis Pereira,72,F,MG,6263.85
2511,Sr. Bento Montenegro,45,M,AL,6713.75
2512,Dra. Mariane Macedo,48,M,MT,4321.97
2513,Alexandre Garcia,28,F,AL,8050.04
2514,Pedro Henrique Camargo,24,M,PI,7988.59
2515,Esther Santos,45,F,CE,1119.34
2516,Natália Cavalcante,81,F,TO,2319.28
2517,Mariah Gomes,100,M,RJ,7573.49
2518,Vitor Hugo Aragão,87,F,AP,4715.96
2519,Alana Rocha,83,F,MS,7418.95
2520,Sr. Eduardo da Paz,78,M,AL,2017.02
2521,João Teixeira,34,F,MS,8081.77
2522,Rodrigo Cunha,80,F,AP,1343.23
2523,Sr. Ryan Pereira,71,M,RR,9333.24
2524,Luiz Miguel Pereira,82,F,RN,6014.82
2525,Nicolas Gonçalves,24,F,PA,3256.84
2526,Bárbara Melo,36,F,AL,5341.72
2527,Ana Laura Fernandes,89,F,AL,2964.82
2528,Cauê da Luz,38,M,RS,3035.63
2529,José Barros,94,M,PB,9047.86
2530,Diego Pimenta,32,M,BA,7754.58
2531,Sr. Gustavo Câmara,70,F,RO,3337.97
2532,Miguel Cardoso,94,M,MA,7480.41
2533,Caroline Melo,78,F,MG,2808.52
2534,Henry Gabriel da Paz,50,M,PI,9811.88
2535,Emanuel Fernandes,40,M,RO,3510.15
2536,Liam Fonseca,48,F,AC,4256.46
2537,Heloísa Souza,95,F,AP,9043.41
2538,Kamilly Guerra,89,M,TO,2100.77
2539,Srta. Fernanda Alves,50,F,TO,4543.59
2540,Luna Porto,44,F,PI,9096.51
2541,Manuela Abreu,89,F,BA,5652.19
2542,Benjamin Andrade,51,F,PR,3705.19
2543,João Novaes,77,M,RN,6025.81
2544,Isis Cirino,45,F,AC,8211.72
2545,Maria Clara Câmara,75,F,GO,9306.74
2546,Anthony Brito,71,F,RR,9143.64
2547,Letícia Gomes,73,F,RO,6234.1
2548,Carlos Eduardo Pires,85,F,ES,5119.95
2549,Enzo Gabriel da Rosa,100,M,SE,6761.54
2550,Maria Helena Fonseca,70,M,BA,3542.17
2551,Srta. Nina Jesus,74,M,TO,9674.67
2552,Sr. Daniel Cunha,39,F,SE,9058.95
2553,Ana Carolina Sales,59,F,RJ,3323.79
2554,Dr. Marcos Vinicius da Cruz,97,M,GO,1706.35
2555,Dr. Pedro Rodrigues,94,F,RR,9379.98
2556,Srta. Ana Júlia Pereira,44,M,AP,5774.24
2557,Fernando Guerra,99,F,MT,9430.48
2558,José Costela,34,F,PI,3657.59
2559,Sra. Sara Nogueira,72,M,CE,4972.85
2560,Francisco Araújo,97,F,TO,1665.09
2561,Apollo Fogaça,77,M,BA,6757.85
2562,Juan Machado,79,F,RN,3760.2
2563,Ana Carolina Fonseca,26,F,MT,2049.75
2564,Ana Júlia Vasconcelos,58,M,SE,7168.59
2565,Maria Laura Abreu,87,F,ES,1987.94
2566,Dr. Luiz Gustavo Dias,32,F,ES,4143.07
2567,Dr. Valentim Novais,44,F,RR,9439.96
2568,Allana Casa Grande,85,F,PI,6072.02
2569,Pedro Miguel Freitas,85,F,MT,9650.26
2570,Luiza Machado,30,F,PA,6043.49
2571,Catarina Freitas,63,M,SC,9562.02
2572,Diego Mendes,86,F,RR,4362.04
2573,Marina Castro,95,M,PA,2737.29
2574,Dra. Sabrina da Paz,53,F,SE,3572.92
